125.235.4.59 p152-ckshare-china.bmw.com
160.46.231.22 ocean.bmw.com
194.55.91.208 nv.bmw.com
23.56.109.26 nprod.bmw.com
23.56.109.26 opmantek.bmw.com
23.56.109.26 optimal-otm-ssyst-iad.bmw.com
23.56.109.26 outback-na.bmw.com
23.56.109.26 output-transformer01.bmw.com
23.56.109.26 p03-ckcoderouter-ic1.bmw.com
23.56.109.26 p03-setup-ic3.bmw.com
23.56.109.26 p04-bookmarks-china.bmw.com
23.56.109.26 p144-escrowproxy.bmw.com
23.56.109.26 p2e0z7nquq-1.bmw.com
23.56.109.26 p66-iwmb1.bmw.com
74.220.199.6 npn.bmw.com
74.220.199.6 oakwood.bmw.com
74.220.199.6 oktaedgemail.bmw.com
74.220.199.6 origin-tlcdtr8bio.bmw.com
74.220.199.6 origins-prod.bmw.com
74.220.199.6 outbound-mail-209-1.bmw.com
74.220.199.6 p01-iwres0.bmw.com
74.220.199.6 p30-iwmb8-china.bmw.com
74.220.199.6 p301-ckcoderouter-china.bmw.com
74.220.199.6 p45-mcc.bmw.com
